group	index	message_id	prefix_rom_offset	data_rom_offset	compressed_bytes	bits_consumed	symbol_count	raw_symbols	text
00	00	0x0000	0x022291	0x022292	8	59	14	01E 028 001 0B9 1AB 025 029 001 093 032 024 011 1C9 1C0	その 方向には 何もない<WAIT_INPUT>
00	01	0x0001	0x02229A	0x02229B	11	84	19	06B 084 054 075 029 001 01F 015 036 084 029 019 03C 010 018 022 02F 01F 1C0	レディは たからばこをあけてみた
00	02	0x0002	0x0222A6	0x0222A7	4	29	8	1C4 03C 001 090 021 018 01F 1C0	<INSERT_A>を 見つけた
00	03	0x0003	0x0222AB	0x0222AC	8	60	14	029 019 028 0A1 029 001 015 036 084 01F 03E 01F 1C9 1C0	はこの中は からだった<WAIT_INPUT>
00	04	0x0004	0x0222B4	0x0222B5	11	82	21	01B 015 01B 001 025 032 021 084 015 001 011 03E 083 029 011 084 01F 03E 01F 1C9 1C0	しかし にもつが いっぱいだった<WAIT_INPUT>
00	05	0x0005	0x0222C0	0x0222C1	5	36	10	1CA 029 001 1C4 03C 123 03E 01F 1CD 1C0	<INSERT_B>は <INSERT_A>を使った<PAUSE_30>
00	06	0x0006	0x0222C6	0x0222C7	7	53	11	1CA 029 001 1CA 03C 023 024 013 01F 1CD 1C0	<INSERT_B>は <INSERT_B>をとなえた<PAUSE_30>
00	07	0x0007	0x0222CE	0x0222CF	11	81	16	01B 015 01B 001 093 084 019 023 032 014 019 036 024 011 1C9 1C0	しかし 何ごともおこらない<WAIT_INPUT>
00	08	0x0008	0x0222DA	0x0222DB	6	45	14	1CA 028 001 00C 00E 084 015 1C2 169 18B 01B 01F 1C9 1C0	<INSERT_B>の LPが<NUMBER>回復した<WAIT_INPUT>
00	09	0x0009	0x0222E1	0x0222E2	6	45	14	1CA 028 001 00D 00E 084 015 1C2 169 18B 01B 01F 1C9 1C0	<INSERT_B>の SPが<NUMBER>回復した<WAIT_INPUT>
00	0A	0x000A	0x0222E8	0x0222E9	10	79	18	084 04C 04B 056 043 028 186 1A4 084 015 001 024 017 024 03E 01F 1C9 1C0	ザコナイの効果が なくなった<WAIT_INPUT>
00	0B	0x000B	0x0222F3	0x0222F4	9	72	17	014 02B 084 01F 028 186 1A4 084 015 001 024 017 024 03E 01F 1C9 1C0	おふだの効果が なくなった<WAIT_INPUT>
00	0C	0x000C	0x0222FD	0x0222FE	7	51	13	1CA 084 015 001 035 02F 084 015 013 03E 01F 1C9 1C0	<INSERT_B>が よみがえった<WAIT_INPUT>
00	0D	0x000D	0x022305	0x022306	8	57	15	1CA 029 001 035 02F 084 015 013 036 024 015 03E 01F 1C9 1C0	<INSERT_B>は よみがえらなかった<WAIT_INPUT>
00	0E	0x000E	0x02230E	0x02230F	7	55	15	1CA 028 001 020 015 036 084 015 001 1C2 02B 013 01F 1C9 1C0	<INSERT_B>の ちからが <NUMBER>ふえた<WAIT_INPUT>
00	0F	0x000F	0x022316	0x022317	9	67	17	1CA 028 001 016 084 02A 03D 01A 084 015 001 1C2 02B 013 01F 1C9 1C0	<INSERT_B>の きびんさが <NUMBER>ふえた<WAIT_INPUT>
00	10	0x0010	0x022320	0x022321	8	61	18	1CA 028 001 00C 00E 028 18A 0AC 199 084 015 001 1C2 02B 013 01F 1C9 1C0	<INSERT_B>の LPの最大値が <NUMBER>ふえた<WAIT_INPUT>
00	11	0x0011	0x022329	0x02232A	8	61	18	1CA 028 001 00D 00E 028 18A 0AC 199 084 015 001 1C2 02B 013 01F 1C9 1C0	<INSERT_B>の SPの最大値が <NUMBER>ふえた<WAIT_INPUT>
00	12	0x0012	0x022332	0x022333	4	30	10	1CA 029 001 1C4 03C 123 03E 01F 1C9 1C0	<INSERT_B>は <INSERT_A>を使った<WAIT_INPUT>
00	13	0x0013	0x022337	0x022338	6	41	10	1CA 029 001 1CA 03C 015 018 01F 1C9 1C0	<INSERT_B>は <INSERT_B>をかけた<WAIT_INPUT>
00	14	0x0014	0x02233E	0x02233F	2	11	3	1C1 1C5 1C0	<NOP><WAIT>
00	15	0x0015	0x022341	0x022342	2	9	3	1C1 1C9 1C0	<NOP><WAIT_INPUT>
00	16	0x0016	0x022344	0x022345	5	39	9	1CA 029 001 1CA 03C 015 018 01F 1C0	<INSERT_B>は <INSERT_B>をかけた
00	17	0x0017	0x02234A	0x02234B	6	43	13	1CA 028 001 00C 00E 084 015 1C2 169 18B 01B 01F 1C0	<INSERT_B>の LPが<NUMBER>回復した
00	18	0x0018	0x022351	0x022352	10	76	16	01F 015 036 084 029 019 029 001 1CA 084 01F 03E 01F 07A 1C9 1C0	たからばこは <INSERT_B>だった!<WAIT_INPUT>
00	19	0x0019	0x02235C	0x02235D	6	42	11	00D 00E 084 015 001 01F 037 024 011 1C9 1C0	SPが たりない<WAIT_INPUT>
00	1A	0x001A	0x022363	0x022364	8	60	14	01E 028 001 0B9 1AB 025 029 001 014 018 024 011 1C9 1C0	その 方向には おけない<WAIT_INPUT>
00	1B	0x001B	0x02236C	0x02236D	7	56	14	1CA 029 001 1C4 03C 1C8 1CA 025 03B 01F 01B 01F 1C9 1C0	"<INSERT_B>は <INSERT_A>を
<INSERT_B>にわたした<WAIT_INPUT>"
00	1C	0x001C	0x022374	0x022375	10	73	19	1CA 029 1C8 099 084 015 015 03B 03E 01F 028 084 022 001 033 031 01F 1C9 1C0	"<INSERT_B>は
気がかわったので やめた<WAIT_INPUT>"
00	1D	0x001D	0x02237F	0x022380	5	38	11	1CA 029 1C8 1C4 03C 001 01C 022 01F 1C9 1C0	"<INSERT_B>は
<INSERT_A>を すてた<WAIT_INPUT>"
00	1E	0x001E	0x022385	0x022386	5	37	12	1CA 029 001 1C4 03C 001 118 03D 084 01F 1C5 1C0	<INSERT_B>は <INSERT_A>を 読んだ<WAIT>
00	1F	0x001F	0x02238B	0x02238C	8	63	20	06B 084 054 075 029 001 1C2 045 06F 084 055 06A 03C 1C8 177 025 08E 039 01F 1C0	"レディは <NUMBER>エンドルを
手に入れた"
00	20	0x0020	0x022394	0x022395	8	64	16	1CA 028 001 137 084 015 1C8 020 040 012 03B 01A 039 01F 1C9 1C0	"<INSERT_B>の 毒が
ちゅうわされた<WAIT_INPUT>"
00	21	0x0021	0x02239D	0x02239E	4	28	9	1CA 029 001 1C4 03C 123 03E 01F 1C0	<INSERT_B>は <INSERT_A>を使った
00	22	0x0022	0x0223A2	0x0223A3	2	13	3	1C1 1CD 1C0	<NOP><PAUSE_30>
00	23	0x0023	0x0223A5	0x0223A6	11	84	23	184 0BB 120 11B 028 001 1C2 188 03C 1C8 018 01B 022 032 001 011 011 084 022 01C 015 079 1C0	"探険日記の <NUMBER>巻を
けしても いいですか?"
00	24	0x0024	0x0223B1	0x0223B2	11	84	21	184 0BB 120 11B 028 001 1C2 188 084 015 1C8 016 013 022 01B 02E 011 02E 01B 01F 1C0	"探険日記の <NUMBER>巻が
きえてしまいました"
00	25	0x0025	0x0223BD	0x0223BE	16	121	27	093 084 019 023 032 001 024 015 03E 01F 035 012 025 1C8 01B 084 01C 02E 037 015 013 03E 022 011 038 1C9 1C0	"何ごとも なかったように
しずまりかえっている<WAIT_INPUT>"
00	26	0x0026	0x0223CE	0x0223CF	5	38	10	1C4 029 001 017 084 01F 018 01F 1C9 1C0	<INSERT_A>は くだけた<WAIT_INPUT>
00	27	0x0027	0x0223D4	0x0223D5	9	65	15	0D6 091 029 001 0C7 124 03C 001 123 013 02E 01D 03D 1C9 1C0	死人は 道具を 使えません<WAIT_INPUT>
00	28	0x0028	0x0223DE	0x0223DF	16	125	30	06B 084 054 075 029 001 1C4 03C 1C8 1CA 028 001 025 032 021 015 036 1C8 1CA 028 025 032 021 025 012 021 01B 01F 1C9 1C0	"レディは <INSERT_A>を
<INSERT_B>の にもつから
<INSERT_B>のにもつにうつした<WAIT_INPUT>"
00	29	0x0029	0x0223EF	0x0223F0	6	48	11	1C4 029 001 01C 022 036 039 024 011 1C9 1C0	<INSERT_A>は すてられない<WAIT_INPUT>
00	2A	0x002A	0x0223F6	0x0223F7	5	37	10	1C4 03C 001 01C 022 02E 01C 015 079 1C0	<INSERT_A>を すてますか?
00	2B	0x002B	0x0223FC	0x0223FD	13	103	27	06B 084 054 075 029 1C8 1CA 028 025 032 021 015 036 1C8 1C4 03C 0FB 037 106 01B 022 001 01C 022 01F 1C9 1C0	"レディは
<INSERT_B>のにもつから
<INSERT_A>を取り出して すてた<WAIT_INPUT>"
